The Hunger Games,Suzanne Collins,7251719,182495,4.32,374,2008,The Hunger Games #1,"Young Adult, Fiction, Science Fiction","Locus Award Nominee for Best Young Adult Book (2009), Georgia Peach Book Award (2009), Buxtehuder Bulle (2009), Golden Duck Award for Young Adult (Hal Clement Award) (2009), Grand Prix de l'Imaginaire Nominee for Roman jeunesse étranger (2010), Books I Loved Best Yearly (BILBY) Awards for Older Readers (2012), West Australian Young Readers' Book Award (WAYRBA) for Older Readers (2010), Red House Children's Book Award for Older Readers & Overall (2010), South Carolina Book Award for Junior and Young Adult Book (2011), Charlotte Award (2010), Colorado Blue Spruce Young Adult Book Award (2010), Teen Buckeye Book Award (2009), Pennsylvania Young Readers' Choice Award for Young Adults (2010), Rhode Island Teen Book Award (2010), Vermont Golden Dome Book Award (2010), Evergreen Teen Book Award (2011), Soaring Eagle Book Award (2009), Milwaukee County Teen Book Award Nominee (2010), Sakura Medal for Middle School Book (2010), Michigan Library Association Thumbs Up! Award (2009), Florida Teens Read (2009), Deutscher Jugendliteraturpreis for Preis der Jugendjury (2010), Iowa High School Book Award (2011), New Mexico Land of Enchantment Award for Young Adult (2011), Eliot Rosewater Indiana High School Book Award (2010), The Inky Awards for Silver Inky (2009), California Young Readers Medal for Young Adult (2011), Lincoln Award (2011), Kinderboekwinkelprijs (2010), Missouri Truman Readers Award (2011), CYBILS Award for Young Adult Fantasy & Science Fiction (2008), Literaturpreis der Jury der jungen Leser for Jugendbuch (2010), The Inky Awards Shortlist for Silver Inky (2009), Prix Et-lisez-moi (2011), Missouri Gateway Readers Award (2011), Oklahoma Sequoyah Award for High School and Intermediate (2011), Premio El Templo de las Mil Puertas for Mejor novela extranjera perteneciente a saga (2009), Rebecca Caudill Young Readers' Book Award (2011), LovelyBooks Leserpreis for Fantasy (2009), LovelyBooks Leserpreis for Bestes Cover/Umschlag (2009), Premi Protagonista Jove for Categoria 13-14 anys (2010) ","District 12 - Panem,Capitol - Panem,Panem"
1984,George Orwell,3730475,85854,4.19,298,1949,,"Classics, Fiction, Science Fiction","Prometheus Hall of Fame Award (1984), Locus Award Nominee for All-Time Best Science Fiction Novel (1987)",
The Giver,Lois Lowry,2067116,70209,4.13,208,1993,The Giver  #1,"Young Adult, Fiction, Classics","Newbery Medal (1994), Mythopoeic Fantasy Award Nominee for Children's Literature (1994), Golden Duck Award for Young Adult (Hal Clement Award) (1994), Garden State Book Award for Teen Fiction Grades 6-8 (1996), Buckeye Children's Book Award for Grade 6-8 (1997), Grand Canyon Reader Award for Teen Book (1995), Maryland Black-Eyed Susan Book Award for Grade 6-9 (1995), Golden Sower Award for Young Adult (1995), Pennsylvania Young Readers' Choice Award for Grades 3-8 (1995), Soaring Eagle Book Award Nominee (1996), Pacific Northwest Library Association Young Reader's Choice Award for Senior (1996), Boston Globe-Horn Book Award Nominee for Fiction (1993), New Mexico Land of Enchantment Award (1997), Eliot Rosewater Indiana High School Book Award (1997), William Allen White Children's Book Award (1996), Wyoming Indian Paintbrush Nominee (1996), NSK Neustadt Prize for Children's Literature Nominee (2013), Oklahoma Sequoyah Award for YA (1996), Rebecca Caudill Young Readers' Book Award (1996), Hea Lasteraamat (2010), Premi Protagonista Jove for Categoria 13-14 anys (2016), Margaret A. Edwards Award (2007) ",
Divergent,Veronica Roth,3369262,112583,4.17,487,2011,Divergent #1,"Young Adult, Science Fiction, Dystopia","Georgia Peach Book Award (2012), South Carolina Book Award for Young Adult (2014), Rhode Island Teen Book Award (2013), Evergreen Teen Book Award (2014), Soaring Eagle Book Award (2012), Milwaukee County Teen Book Award Nominee (2012), Children's Choice Book Award Nominee for Teen Choice Book of the Year (2012), Sakura Medal, New Mexico Land of Enchantment Award for Young Adult (2014), Eliot Rosewater Indiana High School Book Award (2014), California Young Readers Medal for Young Adult (2014), Lincoln Award Nominee (2014), DABWAHA Romance Tournament for Best Young Adult Romance (2012), Goodreads Choice Award for Favorite Book and for Young Adult Fantasy & Science Fiction and Nominee for Goodreads Author (2011), Green Mountain Book Award (2013), The Magnolia Award for 6-8 (2014), Louisiana Teen Readers' Choice (2014), Missouri Gateway Readers Award (2014), Oklahoma Sequoyah Award for High Schol (2014), Premio El Templo de las Mil Puertas Nominee for Mejor novela extranjera perteneciente a saga (2011) ",Chicago - Illinois
Brave New World,Aldous Huxley,1614531,36706,3.99,268,1932,,"Classics, Fiction, Science Fiction",Not found,"New Mexico,London - England"
Fahrenheit 451,Ray Bradbury,1974005,57200,3.98,194,1953,,"Classics, Fiction, Science Fiction","Prometheus Hall of Fame Award (1984), Geffen Award for Best Translated SF Book (2002), California Book Award for Fiction (Silver) (1953), Retro Hugo Award for Best Novel (2004)",
The Handmaid's Tale,Margaret Atwood,1705011,80317,4.12,314,1985,The Handmaid's Tale  #1,"Fiction, Classics, Science Fiction","Booker Prize Nominee (1986), Nebula Award Nominee for Best Novel (1986), Locus Award Nominee for Best SF Novel (1987), Arthur C. Clarke Award (1987), Audie Award for Fiction (2013), Los Angeles Times Book Prize for Fiction (1986), Prometheus Award Nominee for Best Novel (1987), James Tiptree Jr. Award Nominee for Retrospective (1995), Governor General's Literary Awards / Prix littéraires du Gouverneur général for Fiction (1985), SF Chronicle Award Nominee for Novel (1987), Commonwealth Writers' Prize Nominee for Best Book in Caribbean and Canada (1987), CBC Canada Reads Nominee (2002), Metų verstinė knyga Nominee (2012) ","Republic of Gilead,The United States of America"
Animal Farm,George Orwell,3198336,70249,3.97,141,1945,,"Classics, Fiction, Science Fiction","Prometheus Hall of Fame Award (2011), Retro Hugo Award for Best Novella (1996)",
Lord of the Flies,William Golding,2531493,43979,3.69,182,1954,,"Classics, Fiction, Young Adult",Not found,
Ender's Game,Orson Scott Card,1238257,45488,4.30,324,1985,Ender's Saga #1,"Science Fiction, Young Adult, Fantasy","Hugo Award for Best Novel (1986), Nebula Award for Best Novel (1985), Premi Ictineu for Millor novel·la traduïda (2014), Margaret A. Edwards Award (2008)",
