Atlas Shrugged,Ayn Rand,370412,18527,3.69,1078,1957,,"Fiction, Classics, Philosophy","Prometheus Hall of Fame Award (1983), National Book Award Finalist for Fiction (1958)",Not found
Wither,Lauren DeStefano,100150,8160,3.8,358,Not found,The Chemical Garden #1,"Young Adult, Science Fiction, Dystopia","Rhode Island Teen Book Award Nominee (2013), Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction (2011)",Florida
The Long Walk,Richard Bachman,148915,8860,4.09,370,1979,,"Horror, Fiction, Science Fiction",Not found,Maine
Angelfall,Susan Ee,182375,16609,4.11,288,2011,Penryn & the End of Days #1,"Fantasy, Young Adult, Paranormal",CYBILS Award Nominee for Fantasy & Science Fiction (Young Adult) (2011),San Francisco - California
The House of the Scorpion,Nancy Farmer,88274,6716,4.06,380,2002,Matteo Alacran #1,"Young Adult, Science Fiction, Science Fiction","Newbery Medal Nominee (2003), National Book Award for Young People's Literature (2002), Mythopoeic Fantasy Award Nominee for Children's Literature (2003), Buxtehuder Bulle (2003), Michael L. Printz Award Nominee (2003), South Carolina Book Award for Junior Book Award (2006), Grand Canyon Reader Award for Teen Book (2005), Rhode Island Teen Book Award (2004), Vermont Golden Dome Book Award Nominee (2004), Pacific Northwest Library Association Young Reader's Choice Award for Senior (2005), Michigan Library Association Thumbs Up! Award Nominee (2003), Lincoln Award Nominee (2008), Missouri Gateway Readers Award Nominee (2005), Oklahoma Sequoyah Award for YA (2005) ",Not found
The Day of the Triffids,John Wyndham,97005,3989,4.02,228,1951,Triffids #1,"Science Fiction, Fiction, Classics",International Fantasy Award Nominee for Fiction (1952),"London - England,United Kingdom"
The Trial,Franz Kafka,264940,9422,3.96,255,1925,,"Classics, Fiction, Literature",Helen and Kurt Wolff Translator's Prize Nominee for Breon Mitchell (1999),Not found
Across the Universe,Beth Revis,117754,10430,3.77,399,Not found,Across the Universe #1,"Young Adult, Science Fiction, Science Fiction","Rhode Island Teen Book Award Nominee (2013), Lincoln Award Nominee (2014), Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction and for Goodreads Author (2011), Carnegie Medal Nominee (2012)","Godspeed,The United States of America,Earth,…more,Outer Space,…less"
The Dispossessed,Ursula K. Le Guin,101979,7042,4.22,387,1974,Hainish Cycle,"Science Fiction, Fiction, Fantasy","Hugo Award for Best Novel (1975), Nebula Award for Best Novel (1974), Prometheus Hall of Fame Award (1993), Locus Award for Best Novel (1975), Jupiter Award for Best Novel (1975), John W. Campbell Memorial Award Nominee for Best Science Fiction Novel (1975), Ditmar Award Nominee for Best International Long Fiction (1975), Premi Ictineu for Millor novel·la traduïda (2019) ",Not found
Parable of the Sower,Octavia E. Butler,102835,10632,4.19,345,1993,Earthseed #1,"Fiction, Science Fiction, Science Fiction","Nebula Award Nominee for Best Novel (1994), Locus Award Nominee for Best SF Novel (1995)",California
The Forest of Hands and Teeth,Carrie Ryan,84682,8873,3.6,310,2009,The Forest of Hands and Teeth #1,"Young Adult, Horror, Zombies","Georgia Peach Book Award Nominee for Honor book (2010), Goodreads Choice Award Nominee for Young Adult Series (2009)",Not found
The Man in the High Castle,Philip K. Dick,188446,12835,3.61,259,1962,,"Science Fiction, Fiction, Science Fiction","Hugo Award for Best Novel (1963), Tähtivaeltaja Award (1993)","San Francisco - California,California"
